run_id,run_label,metric,n,mean,median,std,shapiro_w,shapiro_p,decision_alpha_0_05,null_hypothesis,reference_url,note
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,em,200,0.0,0.0,0.0,1.0,1.0,fail_to_reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,ex,200,0.485,0.0,0.5010290917239926,0.636107850952573,1.959123002230993e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
modelfam_llama3_8b_instruct_k0,llama3-8b-instruct | k=0,va,200,0.875,1.0,0.3315488246330816,0.3872162260570443,1.3857687412640736e-25,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,em,200,0.355,0.0,0.4797141108417625,0.6051004519433805,3.348169190782243e-21,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,ex,200,0.61,1.0,0.488973902562228,0.6185883835277033,7.12415382644071e-21,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
modelfam_llama3_8b_instruct_k3,llama3-8b-instruct | k=3,va,200,0.895,1.0,0.3073226906378775,0.3516660084925244,3.5260055145654213e-26,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,em,200,0.025,0.0,0.1565167321316986,0.14092117765681356,2.966653000306328e-29,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,ex,200,0.495,0.0,0.5012296437551296,0.6363989073095946,1.9929399305134218e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
modelfam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | k=0,va,200,0.855,1.0,0.3529844046834769,0.41878205561112214,4.926550008798451e-25,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,em,200,0.34,0.0,0.4748975028266154,0.5980744203976793,2.2769115065329372e-21,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,ex,200,0.585,1.0,0.4939584748482119,0.6258379909747633,1.078046309081502e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
modelfam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | k=3,va,200,0.885,1.0,0.3198225010233082,0.3699872353826209,7.084934788167209e-26,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,em,200,0.4,0.0,0.49112730544203365,0.6217212759400836,8.514469954052878e-21,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,ex,200,0.65,1.0,0.47816651501375734,0.6028436957949918,2.9564715817712676e-21,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
modelfam_qwen2_5_7b_instruct_k5,qwen2-5-7b-instruct | k=5,va,200,0.895,1.0,0.3073226906378775,0.3516660084925244,3.5260055145654213e-26,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,em,200,0.065,0.0,0.2471444962163839,0.26455776410057896,1.5570139735545496e-27,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,ex,200,0.575,1.0,0.49558350968870657,0.6281997452354944,1.235423283353082e-20,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,ts,0,,,,,,insufficient_n,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,need at least 3 samples for Shapiro-Wilk
qlorafam_qwen2_5_7b_instruct_k0,qwen2-5-7b-instruct | QLoRA | k=0,va,200,0.905,1.0,0.29395073596757565,0.3321315452278706,1.7040391106927504e-26,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
qlorafam_qwen2_5_7b_instruct_k3,qwen2-5-7b-instruct | QLoRA | k=3,em,200,0.255,0.0,0.4369549727846172,0.5425141399846402,1.276984115374408e-22,reject_normality,data_is_normally_distributed,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.shapiro.html,
